postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
4400,Kalundborg,Kalundborg Bibliotek,Kalundborg Biblioteker,Klostertorvet 2,55.6815781,Folkebibliotek,732600,11.0860766,Kalundborg Bibliotek
4281,Gørlev,Gørlev Bibliotek,Kalundborg Biblioteker,Algade 35,55.539452,Folkebibliotek,732601,11.225361,Gørlev Bibliotek
4270,Høng,Høng Bibliotek,Kalundborg Biblioteker,Odinsvej 27,55.5087632,Folkebibliotek,732602,11.2958073,Høng Bibliotek
4592,Sejerø,Sejerø Bibliotek,Kalundborg Biblioteker,Mastrupvej 18,55.8797104,Folkebibliotek,732603,11.1434117,Sejerø Bibliotek
4490,Jerslev Sj.,Ubby Bibliotek,Kalundborg Biblioteker,Hovedgaden 19,55.620681,Folkebibliotek,732604,11.209156,Ubby Bibliotek
4593,Eskebjerg,Eskebjerg Bibliotek,Kalundborg Biblioteker,Eskebjergvej 67,55.713006,Folkebibliotek,732606,11.301053,Eskebjerg Bibliotek
4470,Svebølle,Svebølle Kvik Bib,Kalundborg Biblioteker,Centervej 13,,Folkebibliotek,732607,,"Svebølle Kvik Bibliotek, Svebølle Aktivitetscenter"
4100,Ringsted,Ringsted Bibliotek,Ringsted Bibliotek,Tværallé 1-3,55.4462543,Folkebibliotek,732900,11.7996316,Ringsted Bibliotek
4100,Ringsted,Bogbussen,Ringsted Bibliotek,Tværallé 1-3,55.4462543,Folkebibliotek,732901,11.7996316,Bogbussen
4200,Slagelse,Slagelse Bibliotek,Slagelse Bibliotekerne,Stenstuegade 3,55.403121,Folkebibliotek,733000,11.35254,Slagelse Bibliotek
4220,Korsør,Korsør Bibliotek,Slagelse Bibliotekerne,Bernstensgade 3,55.337786,Folkebibliotek,733001,11.13568,Korsør Bibliotek
4230,Skælskør,Skælskør  Bibliotek,Slagelse Bibliotekerne,Vestergade 4,55.254125,Folkebibliotek,733002,11.291244,Skælskør Bibliotek
4241,Vemmelev,Vemmelev Servicepunkt ,Slagelse Bibliotekerne,Akacievej 2,55.3637919,Folkebibliotek,733003,11.2597764,Vemmelev Servicepunkt Dagli¿Brugsen
4230,Skælskør,Agersø Bibliotek,Slagelse Bibliotekerne,--,,Folkebibliotek,733004,,Agersø Bibliotek
4230,Skælskør,Omø Bibliotek,Slagelse Bibliotekerne,--,,Folkebibliotek,733005,,Omø Bibliotek
